codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_sifilis_congenita
310170,Almenara,2021,5,2021-5-01,0
310350,Araguari,2021,1,2021-1-01,0
310350,Araguari,2021,2,2021-2-01,0
310350,Araguari,2021,3,2021-3-01,1
310350,Araguari,2021,4,2021-4-01,0
310350,Araguari,2021,5,2021-5-01,0
310400,Araxá,2021,1,2021-1-01,1
310400,Araxá,2021,2,2021-2-01,2
310400,Araxá,2021,3,2021-3-01,5
310400,Araxá,2021,4,2021-4-01,4
310400,Araxá,2021,5,2021-5-01,0
310420,Arcos,2021,1,2021-1-01,0
310420,Arcos,2021,2,2021-2-01,1
310420,Arcos,2021,3,2021-3-01,0
310420,Arcos,2021,4,2021-4-01,0
310420,Arcos,2021,5,2021-5-01,0
310540,Barão de Cocais,2021,1,2021-1-01,0
310540,Barão de Cocais,2021,2,2021-2-01,1
310540,Barão de Cocais,2021,3,2021-3-01,1
310540,Barão de Cocais,2021,4,2021-4-01,0
310540,Barão de Cocais,2021,5,2021-5-01,0
310560,Barbacena,2021,1,2021-1-01,2
310560,Barbacena,2021,2,2021-2-01,0
310560,Barbacena,2021,3,2021-3-01,2
310560,Barbacena,2021,4,2021-4-01,0
310560,Barbacena,2021,5,2021-5-01,0
310620,Belo Horizonte,2021,1,2021-1-01,32
310620,Belo Horizonte,2021,2,2021-2-01,39
310620,Belo Horizonte,2021,3,2021-3-01,29
310620,Belo Horizonte,2021,4,2021-4-01,19
310620,Belo Horizonte,2021,5,2021-5-01,2
310630,Belo Oriente,2021,1,2021-1-01,0
310630,Belo Oriente,2021,2,2021-2-01,0
310630,Belo Oriente,2021,3,2021-3-01,3
310630,Belo Oriente,2021,4,2021-4-01,0
310630,Belo Oriente,2021,5,2021-5-01,0
310670,Betim,2021,1,2021-1-01,5
310670,Betim,2021,2,2021-2-01,7
310670,Betim,2021,3,2021-3-01,4
310670,Betim,2021,4,2021-4-01,2
310670,Betim,2021,5,2021-5-01,0
310690,Bicas,2021,1,2021-1-01,0
310690,Bicas,2021,2,2021-2-01,2
310690,Bicas,2021,3,2021-3-01,0
310690,Bicas,2021,4,2021-4-01,0
310690,Bicas,2021,5,2021-5-01,0
310730,Bocaiúva,2021,1,2021-1-01,2
310730,Bocaiúva,2021,2,2021-2-01,2
310730,Bocaiúva,2021,3,2021-3-01,0
310730,Bocaiúva,2021,4,2021-4-01,2
310730,Bocaiúva,2021,5,2021-5-01,0
310740,Bom Despacho,2021,1,2021-1-01,0
310740,Bom Despacho,2021,2,2021-2-01,1
310740,Bom Despacho,2021,3,2021-3-01,0
310740,Bom Despacho,2021,4,2021-4-01,0
310740,Bom Despacho,2021,5,2021-5-01,0
310780,Bom Jesus do Galho,2021,1,2021-1-01,0
310780,Bom Jesus do Galho,2021,2,2021-2-01,1
310780,Bom Jesus do Galho,2021,3,2021-3-01,0
310780,Bom Jesus do Galho,2021,4,2021-4-01,0
310780,Bom Jesus do Galho,2021,5,2021-5-01,0
310900,Brumadinho,2021,1,2021-1-01,1
310900,Brumadinho,2021,2,2021-2-01,0
310900,Brumadinho,2021,3,2021-3-01,0
310900,Brumadinho,2021,4,2021-4-01,0
310900,Brumadinho,2021,5,2021-5-01,0
310920,Buenópolis,2021,1,2021-1-01,0
310920,Buenópolis,2021,2,2021-2-01,1
310920,Buenópolis,2021,3,2021-3-01,0
310920,Buenópolis,2021,4,2021-4-01,0
310920,Buenópolis,2021,5,2021-5-01,0
310925,Bugre,2021,1,2021-1-01,1
310925,Bugre,2021,2,2021-2-01,0
310925,Bugre,2021,3,2021-3-01,0
310925,Bugre,2021,4,2021-4-01,0
310925,Bugre,2021,5,2021-5-01,0
310940,Buritizeiro,2021,1,2021-1-01,0
310940,Buritizeiro,2021,2,2021-2-01,2
310940,Buritizeiro,2021,3,2021-3-01,0
310940,Buritizeiro,2021,4,2021-4-01,1
310940,Buritizeiro,2021,5,2021-5-01,1
311000,Caeté,2021,1,2021-1-01,0
311000,Caeté,2021,2,2021-2-01,0
311000,Caeté,2021,3,2021-3-01,0
311000,Caeté,2021,4,2021-4-01,1
311000,Caeté,2021,5,2021-5-01,0
311070,Cambuquira,2021,1,2021-1-01,0
311070,Cambuquira,2021,2,2021-2-01,0
311070,Cambuquira,2021,3,2021-3-01,0
311070,Cambuquira,2021,4,2021-4-01,1
311070,Cambuquira,2021,5,2021-5-01,0
311100,Campestre,2021,1,2021-1-01,0
311100,Campestre,2021,2,2021-2-01,0
311100,Campestre,2021,3,2021-3-01,0
311100,Campestre,2021,4,2021-4-01,2
311100,Campestre,2021,5,2021-5-01,0
311110,Campina Verde,2021,1,2021-1-01,0
311110,Campina Verde,2021,2,2021-2-01,0
311110,Campina Verde,2021,3,2021-3-01,1
311110,Campina Verde,2021,4,2021-4-01,0
311110,Campina Verde,2021,5,2021-5-01,0
311230,Capelinha,2021,1,2021-1-01,1
311230,Capelinha,2021,2,2021-2-01,0
311230,Capelinha,2021,3,2021-3-01,0
311230,Capelinha,2021,4,2021-4-01,0
311230,Capelinha,2021,5,2021-5-01,0
311260,Capinópolis,2021,1,2021-1-01,0
311260,Capinópolis,2021,2,2021-2-01,0
311260,Capinópolis,2021,3,2021-3-01,1
311260,Capinópolis,2021,4,2021-4-01,0
311260,Capinópolis,2021,5,2021-5-01,0
311270,Capitão Enéas,2021,1,2021-1-01,1
311270,Capitão Enéas,2021,2,2021-2-01,0
311270,Capitão Enéas,2021,3,2021-3-01,0
311270,Capitão Enéas,2021,4,2021-4-01,0
311270,Capitão Enéas,2021,5,2021-5-01,0
311330,Carangola,2021,1,2021-1-01,0
311330,Carangola,2021,2,2021-2-01,0
311330,Carangola,2021,3,2021-3-01,1
311330,Carangola,2021,4,2021-4-01,0
311330,Carangola,2021,5,2021-5-01,0
311340,Caratinga,2021,1,2021-1-01,0
311340,Caratinga,2021,2,2021-2-01,0
311340,Caratinga,2021,3,2021-3-01,0
311340,Caratinga,2021,4,2021-4-01,1
311340,Caratinga,2021,5,2021-5-01,0
311370,Carlos Chagas,2021,1,2021-1-01,0
311370,Carlos Chagas,2021,2,2021-2-01,0
311370,Carlos Chagas,2021,3,2021-3-01,0
311370,Carlos Chagas,2021,4,2021-4-01,1
311370,Carlos Chagas,2021,5,2021-5-01,0
311430,Carmo do Paranaíba,2021,1,2021-1-01,0
311430,Carmo do Paranaíba,2021,2,2021-2-01,0
311430,Carmo do Paranaíba,2021,3,2021-3-01,1
311430,Carmo do Paranaíba,2021,4,2021-4-01,0
311430,Carmo do Paranaíba,2021,5,2021-5-01,0
311540,Catas Altas da Noruega,2021,1,2021-1-01,0
311540,Catas Altas da Noruega,2021,2,2021-2-01,1
311540,Catas Altas da Noruega,2021,3,2021-3-01,0
311540,Catas Altas da Noruega,2021,4,2021-4-01,0
311540,Catas Altas da Noruega,2021,5,2021-5-01,0
311545,Catuji,2021,1,2021-1-01,0
311545,Catuji,2021,2,2021-2-01,1
311545,Catuji,2021,3,2021-3-01,0
311545,Catuji,2021,4,2021-4-01,1
311545,Catuji,2021,5,2021-5-01,0
311660,Cláudio,2021,1,2021-1-01,2
311660,Cláudio,2021,2,2021-2-01,1
311660,Cláudio,2021,3,2021-3-01,0
311660,Cláudio,2021,4,2021-4-01,1
311660,Cláudio,2021,5,2021-5-01,0
311730,Conceição das Alagoas,2021,1,2021-1-01,0
311730,Conceição das Alagoas,2021,2,2021-2-01,0
311730,Conceição das Alagoas,2021,3,2021-3-01,0
311730,Conceição das Alagoas,2021,4,2021-4-01,0
311730,Conceição das Alagoas,2021,5,2021-5-01,1
311750,Conceição do Mato Dentro,2021,1,2021-1-01,1
311750,Conceição do Mato Dentro,2021,2,2021-2-01,0
311750,Conceição do Mato Dentro,2021,3,2021-3-01,0
311750,Conceição do Mato Dentro,2021,4,2021-4-01,0
311750,Conceição do Mato Dentro,2021,5,2021-5-01,0
311830,Conselheiro Lafaiete,2021,1,2021-1-01,2
311830,Conselheiro Lafaiete,2021,2,2021-2-01,1
311830,Conselheiro Lafaiete,2021,3,2021-3-01,1
311830,Conselheiro Lafaiete,2021,4,2021-4-01,0
311830,Conselheiro Lafaiete,2021,5,2021-5-01,0
311860,Contagem,2021,1,2021-1-01,9
311860,Contagem,2021,2,2021-2-01,6
311860,Contagem,2021,3,2021-3-01,5
311860,Contagem,2021,4,2021-4-01,5
311860,Contagem,2021,5,2021-5-01,0
311880,Coração de Jesus,2021,1,2021-1-01,1
311880,Coração de Jesus,2021,2,2021-2-01,0
311880,Coração de Jesus,2021,3,2021-3-01,0
311880,Coração de Jesus,2021,4,2021-4-01,1
311880,Coração de Jesus,2021,5,2021-5-01,0
311890,Cordisburgo,2021,1,2021-1-01,1
311890,Cordisburgo,2021,2,2021-2-01,0
311890,Cordisburgo,2021,3,2021-3-01,0
311890,Cordisburgo,2021,4,2021-4-01,0
311890,Cordisburgo,2021,5,2021-5-01,0
311910,Corinto,2021,1,2021-1-01,0
311910,Corinto,2021,2,2021-2-01,1
311910,Corinto,2021,3,2021-3-01,1
311910,Corinto,2021,4,2021-4-01,1
311910,Corinto,2021,5,2021-5-01,0
311940,Coronel Fabriciano,2021,1,2021-1-01,3
311940,Coronel Fabriciano,2021,2,2021-2-01,3
311940,Coronel Fabriciano,2021,3,2021-3-01,5
311940,Coronel Fabriciano,2021,4,2021-4-01,0
311940,Coronel Fabriciano,2021,5,2021-5-01,0
312020,Cristais,2021,1,2021-1-01,1
312020,Cristais,2021,2,2021-2-01,0
312020,Cristais,2021,3,2021-3-01,0
312020,Cristais,2021,4,2021-4-01,0
312020,Cristais,2021,5,2021-5-01,0
312060,Crucilândia,2021,1,2021-1-01,0
312060,Crucilândia,2021,2,2021-2-01,0
312060,Crucilândia,2021,3,2021-3-01,0
312060,Crucilândia,2021,4,2021-4-01,1
312060,Crucilândia,2021,5,2021-5-01,0
312083,Cuparaque,2021,1,2021-1-01,0
312083,Cuparaque,2021,2,2021-2-01,1
312083,Cuparaque,2021,3,2021-3-01,0
312083,Cuparaque,2021,4,2021-4-01,0
312083,Cuparaque,2021,5,2021-5-01,0
312087,Curral de Dentro,2021,1,2021-1-01,0
312087,Curral de Dentro,2021,2,2021-2-01,0
312087,Curral de Dentro,2021,3,2021-3-01,0
312087,Curral de Dentro,2021,4,2021-4-01,1
312087,Curral de Dentro,2021,5,2021-5-01,0
312090,Curvelo,2021,1,2021-1-01,0
312090,Curvelo,2021,2,2021-2-01,0
312090,Curvelo,2021,3,2021-3-01,4
312090,Curvelo,2021,4,2021-4-01,2
312090,Curvelo,2021,5,2021-5-01,0
312220,Divinolândia de Minas,2021,1,2021-1-01,0
312220,Divinolândia de Minas,2021,2,2021-2-01,1
312220,Divinolândia de Minas,2021,3,2021-3-01,0
312220,Divinolândia de Minas,2021,4,2021-4-01,0
312220,Divinolândia de Minas,2021,5,2021-5-01,0
312230,Divinópolis,2021,1,2021-1-01,1
312230,Divinópolis,2021,2,2021-2-01,2
312230,Divinópolis,2021,3,2021-3-01,0
312230,Divinópolis,2021,4,2021-4-01,0
312230,Divinópolis,2021,5,2021-5-01,0
312350,Douradoquara,2021,1,2021-1-01,0
312350,Douradoquara,2021,2,2021-2-01,0
312350,Douradoquara,2021,3,2021-3-01,1
312350,Douradoquara,2021,4,2021-4-01,0
312350,Douradoquara,2021,5,2021-5-01,0
312370,Engenheiro Caldas,2021,1,2021-1-01,1
312370,Engenheiro Caldas,2021,2,2021-2-01,1
312370,Engenheiro Caldas,2021,3,2021-3-01,0
312370,Engenheiro Caldas,2021,4,2021-4-01,0
312370,Engenheiro Caldas,2021,5,2021-5-01,0
312380,Engenheiro Navarro,2021,1,2021-1-01,0
312380,Engenheiro Navarro,2021,2,2021-2-01,1
312380,Engenheiro Navarro,2021,3,2021-3-01,0
312380,Engenheiro Navarro,2021,4,2021-4-01,0
312380,Engenheiro Navarro,2021,5,2021-5-01,0
312410,Esmeraldas,2021,1,2021-1-01,0
312410,Esmeraldas,2021,2,2021-2-01,1
312410,Esmeraldas,2021,3,2021-3-01,1
312410,Esmeraldas,2021,4,2021-4-01,0
312410,Esmeraldas,2021,5,2021-5-01,0
312430,Espinosa,2021,1,2021-1-01,0
312430,Espinosa,2021,2,2021-2-01,2
312430,Espinosa,2021,3,2021-3-01,0
312430,Espinosa,2021,4,2021-4-01,0
312430,Espinosa,2021,5,2021-5-01,0
312510,Extrema,2021,1,2021-1-01,0
312510,Extrema,2021,2,2021-2-01,0
312510,Extrema,2021,3,2021-3-01,1
312510,Extrema,2021,4,2021-4-01,0
312510,Extrema,2021,5,2021-5-01,0
312610,Formiga,2021,1,2021-1-01,0
312610,Formiga,2021,2,2021-2-01,1
312610,Formiga,2021,3,2021-3-01,0
312610,Formiga,2021,4,2021-4-01,0
312610,Formiga,2021,5,2021-5-01,0
312670,Francisco Sá,2021,1,2021-1-01,0
312670,Francisco Sá,2021,2,2021-2-01,0
312670,Francisco Sá,2021,3,2021-3-01,1
312670,Francisco Sá,2021,4,2021-4-01,0
312670,Francisco Sá,2021,5,2021-5-01,0
312675,Franciscópolis,2021,1,2021-1-01,0
312675,Franciscópolis,2021,2,2021-2-01,0
312675,Franciscópolis,2021,3,2021-3-01,0
312675,Franciscópolis,2021,4,2021-4-01,0
312675,Franciscópolis,2021,5,2021-5-01,1
312770,Governador Valadares,2021,1,2021-1-01,6
312770,Governador Valadares,2021,2,2021-2-01,22
312770,Governador Valadares,2021,3,2021-3-01,5
312770,Governador Valadares,2021,4,2021-4-01,0
312770,Governador Valadares,2021,5,2021-5-01,0
312800,Guanhães,2021,1,2021-1-01,0
312800,Guanhães,2021,2,2021-2-01,0
312800,Guanhães,2021,3,2021-3-01,0
312800,Guanhães,2021,4,2021-4-01,1
312800,Guanhães,2021,5,2021-5-01,0
312825,Guaraciama,2021,1,2021-1-01,0
312825,Guaraciama,2021,2,2021-2-01,1
312825,Guaraciama,2021,3,2021-3-01,0
312825,Guaraciama,2021,4,2021-4-01,0
312825,Guaraciama,2021,5,2021-5-01,0
312840,Guarani,2021,1,2021-1-01,0
312840,Guarani,2021,2,2021-2-01,2
312840,Guarani,2021,3,2021-3-01,0
312840,Guarani,2021,4,2021-4-01,0
312840,Guarani,2021,5,2021-5-01,0
312980,Ibirité,2021,1,2021-1-01,5
312980,Ibirité,2021,2,2021-2-01,4
312980,Ibirité,2021,3,2021-3-01,1
312980,Ibirité,2021,4,2021-4-01,3
312980,Ibirité,2021,5,2021-5-01,0
313010,Igarapé,2021,1,2021-1-01,0
313010,Igarapé,2021,2,2021-2-01,3
313010,Igarapé,2021,3,2021-3-01,0
313010,Igarapé,2021,4,2021-4-01,0
313010,Igarapé,2021,5,2021-5-01,0
313115,Ipaba,2021,1,2021-1-01,1
313115,Ipaba,2021,2,2021-2-01,2
313115,Ipaba,2021,3,2021-3-01,1
313115,Ipaba,2021,4,2021-4-01,0
313115,Ipaba,2021,5,2021-5-01,0
313130,Ipatinga,2021,1,2021-1-01,8
313130,Ipatinga,2021,2,2021-2-01,9
313130,Ipatinga,2021,3,2021-3-01,8
313130,Ipatinga,2021,4,2021-4-01,1
313130,Ipatinga,2021,5,2021-5-01,0
313170,Itabira,2021,1,2021-1-01,0
313170,Itabira,2021,2,2021-2-01,3
313170,Itabira,2021,3,2021-3-01,2
313170,Itabira,2021,4,2021-4-01,0
313170,Itabira,2021,5,2021-5-01,0
313190,Itabirito,2021,1,2021-1-01,0
313190,Itabirito,2021,2,2021-2-01,0
313190,Itabirito,2021,3,2021-3-01,1
313190,Itabirito,2021,4,2021-4-01,1
313190,Itabirito,2021,5,2021-5-01,0
313230,Itaipé,2021,1,2021-1-01,0
313230,Itaipé,2021,2,2021-2-01,0
313230,Itaipé,2021,3,2021-3-01,1
313230,Itaipé,2021,4,2021-4-01,0
313230,Itaipé,2021,5,2021-5-01,1
313250,Itamarandiba,2021,1,2021-1-01,0
313250,Itamarandiba,2021,2,2021-2-01,0
313250,Itamarandiba,2021,3,2021-3-01,3
313250,Itamarandiba,2021,4,2021-4-01,0
313250,Itamarandiba,2021,5,2021-5-01,0
313310,Itanhandu,2021,1,2021-1-01,0
313310,Itanhandu,2021,2,2021-2-01,0
313310,Itanhandu,2021,3,2021-3-01,0
313310,Itanhandu,2021,4,2021-4-01,0
313310,Itanhandu,2021,5,2021-5-01,1
313370,Itatiaiuçu,2021,1,2021-1-01,1
313370,Itatiaiuçu,2021,2,2021-2-01,0
313370,Itatiaiuçu,2021,3,2021-3-01,0
313370,Itatiaiuçu,2021,4,2021-4-01,0
313370,Itatiaiuçu,2021,5,2021-5-01,0
313375,Itaú de Minas,2021,1,2021-1-01,0
313375,Itaú de Minas,2021,2,2021-2-01,1
313375,Itaú de Minas,2021,3,2021-3-01,0
313375,Itaú de Minas,2021,4,2021-4-01,0
313375,Itaú de Minas,2021,5,2021-5-01,0
313380,Itaúna,2021,1,2021-1-01,0
313380,Itaúna,2021,2,2021-2-01,1
313380,Itaúna,2021,3,2021-3-01,1
313380,Itaúna,2021,4,2021-4-01,0
313380,Itaúna,2021,5,2021-5-01,0
313420,Ituiutaba,2021,1,2021-1-01,0
313420,Ituiutaba,2021,2,2021-2-01,1
313420,Ituiutaba,2021,3,2021-3-01,0
313420,Ituiutaba,2021,4,2021-4-01,0
313420,Ituiutaba,2021,5,2021-5-01,0
313430,Itumirim,2021,1,2021-1-01,0
313430,Itumirim,2021,2,2021-2-01,0
313430,Itumirim,2021,3,2021-3-01,1
313430,Itumirim,2021,4,2021-4-01,0
313430,Itumirim,2021,5,2021-5-01,0
313470,Jacinto,2021,1,2021-1-01,2
313470,Jacinto,2021,2,2021-2-01,0
313470,Jacinto,2021,3,2021-3-01,0
313470,Jacinto,2021,4,2021-4-01,0
313470,Jacinto,2021,5,2021-5-01,0
313580,Jequitinhonha,2021,1,2021-1-01,1
313580,Jequitinhonha,2021,2,2021-2-01,1
313580,Jequitinhonha,2021,3,2021-3-01,0
313580,Jequitinhonha,2021,4,2021-4-01,0
313580,Jequitinhonha,2021,5,2021-5-01,0
313590,Jesuânia,2021,1,2021-1-01,0
313590,Jesuânia,2021,2,2021-2-01,0
313590,Jesuânia,2021,3,2021-3-01,0
313590,Jesuânia,2021,4,2021-4-01,1
313590,Jesuânia,2021,5,2021-5-01,0
313620,João Monlevade,2021,1,2021-1-01,0
313620,João Monlevade,2021,2,2021-2-01,1
313620,João Monlevade,2021,3,2021-3-01,0
313620,João Monlevade,2021,4,2021-4-01,1
313620,João Monlevade,2021,5,2021-5-01,0
313630,João Pinheiro,2021,1,2021-1-01,2
313630,João Pinheiro,2021,2,2021-2-01,1
313630,João Pinheiro,2021,3,2021-3-01,3
313630,João Pinheiro,2021,4,2021-4-01,0
313630,João Pinheiro,2021,5,2021-5-01,0
313670,Juiz de Fora,2021,1,2021-1-01,9
313670,Juiz de Fora,2021,2,2021-2-01,13
313670,Juiz de Fora,2021,3,2021-3-01,5
313670,Juiz de Fora,2021,4,2021-4-01,2
313670,Juiz de Fora,2021,5,2021-5-01,0
313700,Ladainha,2021,1,2021-1-01,2
313700,Ladainha,2021,2,2021-2-01,0
313700,Ladainha,2021,3,2021-3-01,1
313700,Ladainha,2021,4,2021-4-01,0
313700,Ladainha,2021,5,2021-5-01,0
313720,Lagoa da Prata,2021,1,2021-1-01,1
313720,Lagoa da Prata,2021,2,2021-2-01,0
313720,Lagoa da Prata,2021,3,2021-3-01,1
313720,Lagoa da Prata,2021,4,2021-4-01,1
313720,Lagoa da Prata,2021,5,2021-5-01,0
313760,Lagoa Santa,2021,1,2021-1-01,2
313760,Lagoa Santa,2021,2,2021-2-01,1
313760,Lagoa Santa,2021,3,2021-3-01,0
313760,Lagoa Santa,2021,4,2021-4-01,1
313760,Lagoa Santa,2021,5,2021-5-01,1
313770,Lajinha,2021,1,2021-1-01,1
313770,Lajinha,2021,2,2021-2-01,0
313770,Lajinha,2021,3,2021-3-01,1
313770,Lajinha,2021,4,2021-4-01,0
313770,Lajinha,2021,5,2021-5-01,0
313820,Lavras,2021,1,2021-1-01,2
313820,Lavras,2021,2,2021-2-01,2
313820,Lavras,2021,3,2021-3-01,3
313820,Lavras,2021,4,2021-4-01,4
313820,Lavras,2021,5,2021-5-01,0
313840,Leopoldina,2021,1,2021-1-01,0
313840,Leopoldina,2021,2,2021-2-01,0
313840,Leopoldina,2021,3,2021-3-01,1
313840,Leopoldina,2021,4,2021-4-01,0
313840,Leopoldina,2021,5,2021-5-01,0
313890,Machacalis,2021,1,2021-1-01,2
313890,Machacalis,2021,2,2021-2-01,0
313890,Machacalis,2021,3,2021-3-01,0
313890,Machacalis,2021,4,2021-4-01,0
313890,Machacalis,2021,5,2021-5-01,0
313900,Machado,2021,1,2021-1-01,1
313900,Machado,2021,2,2021-2-01,0
313900,Machado,2021,3,2021-3-01,0
313900,Machado,2021,4,2021-4-01,0
313900,Machado,2021,5,2021-5-01,0
313920,Malacacheta,2021,1,2021-1-01,1
313920,Malacacheta,2021,2,2021-2-01,0
313920,Malacacheta,2021,3,2021-3-01,0
313920,Malacacheta,2021,4,2021-4-01,0
313920,Malacacheta,2021,5,2021-5-01,0
313930,Manga,2021,1,2021-1-01,0
313930,Manga,2021,2,2021-2-01,0
313930,Manga,2021,3,2021-3-01,0
313930,Manga,2021,4,2021-4-01,0
313930,Manga,2021,5,2021-5-01,1
313940,Manhuaçu,2021,1,2021-1-01,0
313940,Manhuaçu,2021,2,2021-2-01,4
313940,Manhuaçu,2021,3,2021-3-01,1
313940,Manhuaçu,2021,4,2021-4-01,3
313940,Manhuaçu,2021,5,2021-5-01,0
313950,Manhumirim,2021,1,2021-1-01,0
313950,Manhumirim,2021,2,2021-2-01,1
313950,Manhumirim,2021,3,2021-3-01,1
313950,Manhumirim,2021,4,2021-4-01,0
313950,Manhumirim,2021,5,2021-5-01,0
313960,Mantena,2021,1,2021-1-01,1
313960,Mantena,2021,2,2021-2-01,0
313960,Mantena,2021,3,2021-3-01,0
313960,Mantena,2021,4,2021-4-01,0
313960,Mantena,2021,5,2021-5-01,0
313970,Maravilhas,2021,1,2021-1-01,1
313970,Maravilhas,2021,2,2021-2-01,0
313970,Maravilhas,2021,3,2021-3-01,0
313970,Maravilhas,2021,4,2021-4-01,0
313970,Maravilhas,2021,5,2021-5-01,0
314000,Mariana,2021,1,2021-1-01,3
314000,Mariana,2021,2,2021-2-01,0
314000,Mariana,2021,3,2021-3-01,1
314000,Mariana,2021,4,2021-4-01,0
314000,Mariana,2021,5,2021-5-01,0
314015,Mário Campos,2021,1,2021-1-01,0
314015,Mário Campos,2021,2,2021-2-01,1
314015,Mário Campos,2021,3,2021-3-01,2
314015,Mário Campos,2021,4,2021-4-01,0
314015,Mário Campos,2021,5,2021-5-01,0
314053,Martins Soares,2021,1,2021-1-01,0
314053,Martins Soares,2021,2,2021-2-01,0
314053,Martins Soares,2021,3,2021-3-01,1
314053,Martins Soares,2021,4,2021-4-01,0
314053,Martins Soares,2021,5,2021-5-01,0
314070,Mateus Leme,2021,1,2021-1-01,0
314070,Mateus Leme,2021,2,2021-2-01,1
314070,Mateus Leme,2021,3,2021-3-01,0
314070,Mateus Leme,2021,4,2021-4-01,2
314070,Mateus Leme,2021,5,2021-5-01,0
314080,Matias Barbosa,2021,1,2021-1-01,0
314080,Matias Barbosa,2021,2,2021-2-01,0
314080,Matias Barbosa,2021,3,2021-3-01,0
314080,Matias Barbosa,2021,4,2021-4-01,1
314080,Matias Barbosa,2021,5,2021-5-01,0
314090,Matipó,2021,1,2021-1-01,1
314090,Matipó,2021,2,2021-2-01,1
314090,Matipó,2021,3,2021-3-01,1
314090,Matipó,2021,4,2021-4-01,0
314090,Matipó,2021,5,2021-5-01,0
314140,Medina,2021,1,2021-1-01,0
314140,Medina,2021,2,2021-2-01,0
314140,Medina,2021,3,2021-3-01,0
314140,Medina,2021,4,2021-4-01,1
314140,Medina,2021,5,2021-5-01,0
314160,Mercês,2021,1,2021-1-01,0
314160,Mercês,2021,2,2021-2-01,1
314160,Mercês,2021,3,2021-3-01,0
314160,Mercês,2021,4,2021-4-01,0
314160,Mercês,2021,5,2021-5-01,0
314200,Mirabela,2021,1,2021-1-01,0
314200,Mirabela,2021,2,2021-2-01,0
314200,Mirabela,2021,3,2021-3-01,1
314200,Mirabela,2021,4,2021-4-01,0
314200,Mirabela,2021,5,2021-5-01,0
314240,Moema,2021,1,2021-1-01,0
314240,Moema,2021,2,2021-2-01,1
314240,Moema,2021,3,2021-3-01,0
314240,Moema,2021,4,2021-4-01,0
314240,Moema,2021,5,2021-5-01,0
314290,Monte Azul,2021,1,2021-1-01,1
314290,Monte Azul,2021,2,2021-2-01,0
314290,Monte Azul,2021,3,2021-3-01,0
314290,Monte Azul,2021,4,2021-4-01,0
314290,Monte Azul,2021,5,2021-5-01,0
314310,Monte Carmelo,2021,1,2021-1-01,1
314310,Monte Carmelo,2021,2,2021-2-01,0
314310,Monte Carmelo,2021,3,2021-3-01,0
314310,Monte Carmelo,2021,4,2021-4-01,1
314310,Monte Carmelo,2021,5,2021-5-01,0
314330,Montes Claros,2021,1,2021-1-01,5
314330,Montes Claros,2021,2,2021-2-01,12
314330,Montes Claros,2021,3,2021-3-01,11
314330,Montes Claros,2021,4,2021-4-01,12
314330,Montes Claros,2021,5,2021-5-01,1
314390,Muriaé,2021,1,2021-1-01,0
314390,Muriaé,2021,2,2021-2-01,0
314390,Muriaé,2021,3,2021-3-01,1
314390,Muriaé,2021,4,2021-4-01,0
314390,Muriaé,2021,5,2021-5-01,0
314410,Muzambinho,2021,1,2021-1-01,0
314410,Muzambinho,2021,2,2021-2-01,0
314410,Muzambinho,2021,3,2021-3-01,1
