codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_botulismo
316255,São João do Manhuaçu,2009,4,2009-4-01,9
312230,Divinópolis,2008,1,2008-1-01,0
312230,Divinópolis,2008,6,2008-6-01,0
312230,Divinópolis,2008,10,2008-10-01,0
312230,Divinópolis,2008,11,2008-11-01,1
312230,Divinópolis,2008,12,2008-12-01,0
313670,Juiz de Fora,2008,1,2008-1-01,0
313670,Juiz de Fora,2008,6,2008-6-01,0
313670,Juiz de Fora,2008,10,2008-10-01,1
313670,Juiz de Fora,2008,11,2008-11-01,0
313670,Juiz de Fora,2008,12,2008-12-01,0
314980,Perdizes,2008,1,2008-1-01,1
314980,Perdizes,2008,6,2008-6-01,0
314980,Perdizes,2008,10,2008-10-01,0
314980,Perdizes,2008,11,2008-11-01,0
314980,Perdizes,2008,12,2008-12-01,0
315250,Pouso Alegre,2008,1,2008-1-01,0
315250,Pouso Alegre,2008,6,2008-6-01,1
315250,Pouso Alegre,2008,10,2008-10-01,0
315250,Pouso Alegre,2008,11,2008-11-01,0
315250,Pouso Alegre,2008,12,2008-12-01,0
317020,Uberlândia,2008,1,2008-1-01,0
317020,Uberlândia,2008,6,2008-6-01,0
317020,Uberlândia,2008,10,2008-10-01,0
317020,Uberlândia,2008,11,2008-11-01,0
317020,Uberlândia,2008,12,2008-12-01,2
311150,Campos Altos,2007,5,2007-5-01,0
311150,Campos Altos,2007,9,2007-9-01,1
316240,São João da Ponte,2007,5,2007-5-01,0
316240,São João da Ponte,2007,9,2007-9-01,1
317020,Uberlândia,2007,5,2007-5-01,1
317020,Uberlândia,2007,9,2007-9-01,0
