codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_doenca_de_chagas_aguda
316553,Sarzedo,2021,4,2021-4-01,0
316553,Sarzedo,2021,9,2021-9-01,0
316553,Sarzedo,2021,12,2021-12-01,1
316860,Teófilo Otoni,2021,1,2021-1-01,0
316860,Teófilo Otoni,2021,2,2021-2-01,0
316860,Teófilo Otoni,2021,3,2021-3-01,1
316860,Teófilo Otoni,2021,4,2021-4-01,0
316860,Teófilo Otoni,2021,9,2021-9-01,0
316860,Teófilo Otoni,2021,12,2021-12-01,0
317050,Urucânia,2021,1,2021-1-01,1
317050,Urucânia,2021,2,2021-2-01,0
317050,Urucânia,2021,3,2021-3-01,0
317050,Urucânia,2021,4,2021-4-01,0
317050,Urucânia,2021,9,2021-9-01,0
317050,Urucânia,2021,12,2021-12-01,0
310060,Água Boa,2020,1,2020-1-01,0
310060,Água Boa,2020,2,2020-2-01,0
310060,Água Boa,2020,3,2020-3-01,0
310060,Água Boa,2020,4,2020-4-01,0
310060,Água Boa,2020,5,2020-5-01,0
310060,Água Boa,2020,6,2020-6-01,0
310060,Água Boa,2020,7,2020-7-01,0
310060,Água Boa,2020,8,2020-8-01,0
310060,Água Boa,2020,9,2020-9-01,0
310060,Água Boa,2020,10,2020-10-01,1
310060,Água Boa,2020,11,2020-11-01,0
310060,Água Boa,2020,12,2020-12-01,0
310110,Aimorés,2020,1,2020-1-01,0
310110,Aimorés,2020,2,2020-2-01,0
310110,Aimorés,2020,3,2020-3-01,0
310110,Aimorés,2020,4,2020-4-01,1
310110,Aimorés,2020,5,2020-5-01,1
310110,Aimorés,2020,6,2020-6-01,0
310110,Aimorés,2020,7,2020-7-01,0
310110,Aimorés,2020,8,2020-8-01,0
310110,Aimorés,2020,9,2020-9-01,0
310110,Aimorés,2020,10,2020-10-01,0
310110,Aimorés,2020,11,2020-11-01,0
310110,Aimorés,2020,12,2020-12-01,0
310150,Além Paraíba,2020,1,2020-1-01,0
310150,Além Paraíba,2020,2,2020-2-01,0
310150,Além Paraíba,2020,3,2020-3-01,0
310150,Além Paraíba,2020,4,2020-4-01,0
310150,Além Paraíba,2020,5,2020-5-01,0
310150,Além Paraíba,2020,6,2020-6-01,0
310150,Além Paraíba,2020,7,2020-7-01,0
310150,Além Paraíba,2020,8,2020-8-01,0
310150,Além Paraíba,2020,9,2020-9-01,0
310150,Além Paraíba,2020,10,2020-10-01,0
310150,Além Paraíba,2020,11,2020-11-01,0
310150,Além Paraíba,2020,12,2020-12-01,1
315350,Alto Jequitibá,2020,1,2020-1-01,0
315350,Alto Jequitibá,2020,2,2020-2-01,0
315350,Alto Jequitibá,2020,3,2020-3-01,0
315350,Alto Jequitibá,2020,4,2020-4-01,0
315350,Alto Jequitibá,2020,5,2020-5-01,0
315350,Alto Jequitibá,2020,6,2020-6-01,0
315350,Alto Jequitibá,2020,7,2020-7-01,0
315350,Alto Jequitibá,2020,8,2020-8-01,0
315350,Alto Jequitibá,2020,9,2020-9-01,0
315350,Alto Jequitibá,2020,10,2020-10-01,0
315350,Alto Jequitibá,2020,11,2020-11-01,2
315350,Alto Jequitibá,2020,12,2020-12-01,0
310620,Belo Horizonte,2020,1,2020-1-01,0
310620,Belo Horizonte,2020,2,2020-2-01,0
310620,Belo Horizonte,2020,3,2020-3-01,0
310620,Belo Horizonte,2020,4,2020-4-01,0
310620,Belo Horizonte,2020,5,2020-5-01,0
310620,Belo Horizonte,2020,6,2020-6-01,0
310620,Belo Horizonte,2020,7,2020-7-01,0
310620,Belo Horizonte,2020,8,2020-8-01,0
310620,Belo Horizonte,2020,9,2020-9-01,0
310620,Belo Horizonte,2020,10,2020-10-01,0
310620,Belo Horizonte,2020,11,2020-11-01,2
310620,Belo Horizonte,2020,12,2020-12-01,0
310670,Betim,2020,1,2020-1-01,0
310670,Betim,2020,2,2020-2-01,0
310670,Betim,2020,3,2020-3-01,0
310670,Betim,2020,4,2020-4-01,0
310670,Betim,2020,5,2020-5-01,0
310670,Betim,2020,6,2020-6-01,1
310670,Betim,2020,7,2020-7-01,1
310670,Betim,2020,8,2020-8-01,0
310670,Betim,2020,9,2020-9-01,0
310670,Betim,2020,10,2020-10-01,0
310670,Betim,2020,11,2020-11-01,0
310670,Betim,2020,12,2020-12-01,0
311040,Camacho,2020,1,2020-1-01,0
311040,Camacho,2020,2,2020-2-01,0
311040,Camacho,2020,3,2020-3-01,0
311040,Camacho,2020,4,2020-4-01,0
311040,Camacho,2020,5,2020-5-01,1
311040,Camacho,2020,6,2020-6-01,0
311040,Camacho,2020,7,2020-7-01,0
311040,Camacho,2020,8,2020-8-01,0
311040,Camacho,2020,9,2020-9-01,0
311040,Camacho,2020,10,2020-10-01,0
311040,Camacho,2020,11,2020-11-01,0
311040,Camacho,2020,12,2020-12-01,0
311160,Campos Gerais,2020,1,2020-1-01,0
311160,Campos Gerais,2020,2,2020-2-01,0
311160,Campos Gerais,2020,3,2020-3-01,0
311160,Campos Gerais,2020,4,2020-4-01,0
311160,Campos Gerais,2020,5,2020-5-01,1
311160,Campos Gerais,2020,6,2020-6-01,1
311160,Campos Gerais,2020,7,2020-7-01,0
311160,Campos Gerais,2020,8,2020-8-01,1
311160,Campos Gerais,2020,9,2020-9-01,0
311160,Campos Gerais,2020,10,2020-10-01,0
311160,Campos Gerais,2020,11,2020-11-01,1
311160,Campos Gerais,2020,12,2020-12-01,0
311450,Carmópolis de Minas,2020,1,2020-1-01,0
311450,Carmópolis de Minas,2020,2,2020-2-01,0
311450,Carmópolis de Minas,2020,3,2020-3-01,0
311450,Carmópolis de Minas,2020,4,2020-4-01,0
311450,Carmópolis de Minas,2020,5,2020-5-01,0
311450,Carmópolis de Minas,2020,6,2020-6-01,0
311450,Carmópolis de Minas,2020,7,2020-7-01,0
311450,Carmópolis de Minas,2020,8,2020-8-01,0
311450,Carmópolis de Minas,2020,9,2020-9-01,0
311450,Carmópolis de Minas,2020,10,2020-10-01,2
311450,Carmópolis de Minas,2020,11,2020-11-01,0
311450,Carmópolis de Minas,2020,12,2020-12-01,0
311783,Cônego Marinho,2020,1,2020-1-01,1
311783,Cônego Marinho,2020,2,2020-2-01,0
311783,Cônego Marinho,2020,3,2020-3-01,0
311783,Cônego Marinho,2020,4,2020-4-01,0
311783,Cônego Marinho,2020,5,2020-5-01,0
311783,Cônego Marinho,2020,6,2020-6-01,0
311783,Cônego Marinho,2020,7,2020-7-01,0
311783,Cônego Marinho,2020,8,2020-8-01,0
311783,Cônego Marinho,2020,9,2020-9-01,0
311783,Cônego Marinho,2020,10,2020-10-01,0
311783,Cônego Marinho,2020,11,2020-11-01,0
311783,Cônego Marinho,2020,12,2020-12-01,0
311890,Cordisburgo,2020,1,2020-1-01,0
311890,Cordisburgo,2020,2,2020-2-01,0
311890,Cordisburgo,2020,3,2020-3-01,0
311890,Cordisburgo,2020,4,2020-4-01,0
311890,Cordisburgo,2020,5,2020-5-01,0
311890,Cordisburgo,2020,6,2020-6-01,0
311890,Cordisburgo,2020,7,2020-7-01,1
311890,Cordisburgo,2020,8,2020-8-01,0
311890,Cordisburgo,2020,9,2020-9-01,0
311890,Cordisburgo,2020,10,2020-10-01,0
311890,Cordisburgo,2020,11,2020-11-01,0
311890,Cordisburgo,2020,12,2020-12-01,0
311920,Coroaci,2020,1,2020-1-01,1
311920,Coroaci,2020,2,2020-2-01,0
311920,Coroaci,2020,3,2020-3-01,0
311920,Coroaci,2020,4,2020-4-01,2
311920,Coroaci,2020,5,2020-5-01,0
311920,Coroaci,2020,6,2020-6-01,0
311920,Coroaci,2020,7,2020-7-01,0
311920,Coroaci,2020,8,2020-8-01,0
311920,Coroaci,2020,9,2020-9-01,0
311920,Coroaci,2020,10,2020-10-01,0
311920,Coroaci,2020,11,2020-11-01,0
311920,Coroaci,2020,12,2020-12-01,0
312370,Engenheiro Caldas,2020,1,2020-1-01,0
312370,Engenheiro Caldas,2020,2,2020-2-01,0
312370,Engenheiro Caldas,2020,3,2020-3-01,0
312370,Engenheiro Caldas,2020,4,2020-4-01,0
312370,Engenheiro Caldas,2020,5,2020-5-01,0
312370,Engenheiro Caldas,2020,6,2020-6-01,0
312370,Engenheiro Caldas,2020,7,2020-7-01,0
312370,Engenheiro Caldas,2020,8,2020-8-01,1
312370,Engenheiro Caldas,2020,9,2020-9-01,0
312370,Engenheiro Caldas,2020,10,2020-10-01,0
312370,Engenheiro Caldas,2020,11,2020-11-01,0
312370,Engenheiro Caldas,2020,12,2020-12-01,0
312390,Entre Rios de Minas,2020,1,2020-1-01,0
312390,Entre Rios de Minas,2020,2,2020-2-01,0
312390,Entre Rios de Minas,2020,3,2020-3-01,0
312390,Entre Rios de Minas,2020,4,2020-4-01,0
312390,Entre Rios de Minas,2020,5,2020-5-01,0
312390,Entre Rios de Minas,2020,6,2020-6-01,0
312390,Entre Rios de Minas,2020,7,2020-7-01,0
312390,Entre Rios de Minas,2020,8,2020-8-01,0
312390,Entre Rios de Minas,2020,9,2020-9-01,0
312390,Entre Rios de Minas,2020,10,2020-10-01,0
312390,Entre Rios de Minas,2020,11,2020-11-01,0
312390,Entre Rios de Minas,2020,12,2020-12-01,1
312410,Esmeraldas,2020,1,2020-1-01,0
312410,Esmeraldas,2020,2,2020-2-01,0
312410,Esmeraldas,2020,3,2020-3-01,1
312410,Esmeraldas,2020,4,2020-4-01,0
312410,Esmeraldas,2020,5,2020-5-01,0
312410,Esmeraldas,2020,6,2020-6-01,0
312410,Esmeraldas,2020,7,2020-7-01,0
312410,Esmeraldas,2020,8,2020-8-01,1
312410,Esmeraldas,2020,9,2020-9-01,0
312410,Esmeraldas,2020,10,2020-10-01,1
312410,Esmeraldas,2020,11,2020-11-01,0
312410,Esmeraldas,2020,12,2020-12-01,0
312580,Fernandes Tourinho,2020,1,2020-1-01,0
312580,Fernandes Tourinho,2020,2,2020-2-01,0
312580,Fernandes Tourinho,2020,3,2020-3-01,0
312580,Fernandes Tourinho,2020,4,2020-4-01,0
312580,Fernandes Tourinho,2020,5,2020-5-01,0
312580,Fernandes Tourinho,2020,6,2020-6-01,0
312580,Fernandes Tourinho,2020,7,2020-7-01,0
312580,Fernandes Tourinho,2020,8,2020-8-01,8
312580,Fernandes Tourinho,2020,9,2020-9-01,0
312580,Fernandes Tourinho,2020,10,2020-10-01,0
312580,Fernandes Tourinho,2020,11,2020-11-01,0
312580,Fernandes Tourinho,2020,12,2020-12-01,0
312675,Franciscópolis,2020,1,2020-1-01,0
312675,Franciscópolis,2020,2,2020-2-01,0
312675,Franciscópolis,2020,3,2020-3-01,0
312675,Franciscópolis,2020,4,2020-4-01,0
312675,Franciscópolis,2020,5,2020-5-01,0
312675,Franciscópolis,2020,6,2020-6-01,4
312675,Franciscópolis,2020,7,2020-7-01,0
312675,Franciscópolis,2020,8,2020-8-01,0
312675,Franciscópolis,2020,9,2020-9-01,0
312675,Franciscópolis,2020,10,2020-10-01,0
312675,Franciscópolis,2020,11,2020-11-01,0
312675,Franciscópolis,2020,12,2020-12-01,0
312830,Guaranésia,2020,1,2020-1-01,0
312830,Guaranésia,2020,2,2020-2-01,0
312830,Guaranésia,2020,3,2020-3-01,0
312830,Guaranésia,2020,4,2020-4-01,0
312830,Guaranésia,2020,5,2020-5-01,0
312830,Guaranésia,2020,6,2020-6-01,0
312830,Guaranésia,2020,7,2020-7-01,0
312830,Guaranésia,2020,8,2020-8-01,0
312830,Guaranésia,2020,9,2020-9-01,0
312830,Guaranésia,2020,10,2020-10-01,0
312830,Guaranésia,2020,11,2020-11-01,1
312830,Guaranésia,2020,12,2020-12-01,0
313070,Indianópolis,2020,1,2020-1-01,0
313070,Indianópolis,2020,2,2020-2-01,0
313070,Indianópolis,2020,3,2020-3-01,0
313070,Indianópolis,2020,4,2020-4-01,0
313070,Indianópolis,2020,5,2020-5-01,0
313070,Indianópolis,2020,6,2020-6-01,0
313070,Indianópolis,2020,7,2020-7-01,0
313070,Indianópolis,2020,8,2020-8-01,0
313070,Indianópolis,2020,9,2020-9-01,0
313070,Indianópolis,2020,10,2020-10-01,1
313070,Indianópolis,2020,11,2020-11-01,0
313070,Indianópolis,2020,12,2020-12-01,0
313080,Ingaí,2020,1,2020-1-01,0
313080,Ingaí,2020,2,2020-2-01,0
313080,Ingaí,2020,3,2020-3-01,1
313080,Ingaí,2020,4,2020-4-01,0
313080,Ingaí,2020,5,2020-5-01,0
313080,Ingaí,2020,6,2020-6-01,0
313080,Ingaí,2020,7,2020-7-01,0
313080,Ingaí,2020,8,2020-8-01,0
313080,Ingaí,2020,9,2020-9-01,0
313080,Ingaí,2020,10,2020-10-01,0
313080,Ingaí,2020,11,2020-11-01,0
313080,Ingaí,2020,12,2020-12-01,0
313370,Itatiaiuçu,2020,1,2020-1-01,0
313370,Itatiaiuçu,2020,2,2020-2-01,0
313370,Itatiaiuçu,2020,3,2020-3-01,0
313370,Itatiaiuçu,2020,4,2020-4-01,0
313370,Itatiaiuçu,2020,5,2020-5-01,0
313370,Itatiaiuçu,2020,6,2020-6-01,0
313370,Itatiaiuçu,2020,7,2020-7-01,0
313370,Itatiaiuçu,2020,8,2020-8-01,0
313370,Itatiaiuçu,2020,9,2020-9-01,0
313370,Itatiaiuçu,2020,10,2020-10-01,0
313370,Itatiaiuçu,2020,11,2020-11-01,4
313370,Itatiaiuçu,2020,12,2020-12-01,0
313380,Itaúna,2020,1,2020-1-01,0
313380,Itaúna,2020,2,2020-2-01,0
313380,Itaúna,2020,3,2020-3-01,0
313380,Itaúna,2020,4,2020-4-01,0
313380,Itaúna,2020,5,2020-5-01,0
313380,Itaúna,2020,6,2020-6-01,0
313380,Itaúna,2020,7,2020-7-01,0
313380,Itaúna,2020,8,2020-8-01,0
313380,Itaúna,2020,9,2020-9-01,0
313380,Itaúna,2020,10,2020-10-01,0
313380,Itaúna,2020,11,2020-11-01,1
313380,Itaúna,2020,12,2020-12-01,0
313690,Juruaia,2020,1,2020-1-01,9
313690,Juruaia,2020,2,2020-2-01,1
313690,Juruaia,2020,3,2020-3-01,0
313690,Juruaia,2020,4,2020-4-01,0
313690,Juruaia,2020,5,2020-5-01,0
313690,Juruaia,2020,6,2020-6-01,0
313690,Juruaia,2020,7,2020-7-01,0
313690,Juruaia,2020,8,2020-8-01,0
313690,Juruaia,2020,9,2020-9-01,0
313690,Juruaia,2020,10,2020-10-01,0
313690,Juruaia,2020,11,2020-11-01,0
313690,Juruaia,2020,12,2020-12-01,1
313780,Lambari,2020,1,2020-1-01,0
313780,Lambari,2020,2,2020-2-01,0
313780,Lambari,2020,3,2020-3-01,0
313780,Lambari,2020,4,2020-4-01,0
313780,Lambari,2020,5,2020-5-01,0
313780,Lambari,2020,6,2020-6-01,0
313780,Lambari,2020,7,2020-7-01,0
313780,Lambari,2020,8,2020-8-01,0
313780,Lambari,2020,9,2020-9-01,1
313780,Lambari,2020,10,2020-10-01,0
313780,Lambari,2020,11,2020-11-01,0
313780,Lambari,2020,12,2020-12-01,0
313867,Luisburgo,2020,1,2020-1-01,0
313867,Luisburgo,2020,2,2020-2-01,0
313867,Luisburgo,2020,3,2020-3-01,0
313867,Luisburgo,2020,4,2020-4-01,0
313867,Luisburgo,2020,5,2020-5-01,0
313867,Luisburgo,2020,6,2020-6-01,0
313867,Luisburgo,2020,7,2020-7-01,0
313867,Luisburgo,2020,8,2020-8-01,0
313867,Luisburgo,2020,9,2020-9-01,0
313867,Luisburgo,2020,10,2020-10-01,0
313867,Luisburgo,2020,11,2020-11-01,0
313867,Luisburgo,2020,12,2020-12-01,1
313930,Manga,2020,1,2020-1-01,0
313930,Manga,2020,2,2020-2-01,0
313930,Manga,2020,3,2020-3-01,0
313930,Manga,2020,4,2020-4-01,0
313930,Manga,2020,5,2020-5-01,0
313930,Manga,2020,6,2020-6-01,0
313930,Manga,2020,7,2020-7-01,0
313930,Manga,2020,8,2020-8-01,1
313930,Manga,2020,9,2020-9-01,0
313930,Manga,2020,10,2020-10-01,0
313930,Manga,2020,11,2020-11-01,0
313930,Manga,2020,12,2020-12-01,0
313940,Manhuaçu,2020,1,2020-1-01,0
313940,Manhuaçu,2020,2,2020-2-01,1
313940,Manhuaçu,2020,3,2020-3-01,0
313940,Manhuaçu,2020,4,2020-4-01,0
313940,Manhuaçu,2020,5,2020-5-01,0
313940,Manhuaçu,2020,6,2020-6-01,18
313940,Manhuaçu,2020,7,2020-7-01,0
313940,Manhuaçu,2020,8,2020-8-01,0
313940,Manhuaçu,2020,9,2020-9-01,1
313940,Manhuaçu,2020,10,2020-10-01,21
313940,Manhuaçu,2020,11,2020-11-01,7
313940,Manhuaçu,2020,12,2020-12-01,11
315170,Poço Fundo,2020,1,2020-1-01,0
315170,Poço Fundo,2020,2,2020-2-01,4
315170,Poço Fundo,2020,3,2020-3-01,0
315170,Poço Fundo,2020,4,2020-4-01,0
315170,Poço Fundo,2020,5,2020-5-01,0
315170,Poço Fundo,2020,6,2020-6-01,0
315170,Poço Fundo,2020,7,2020-7-01,0
315170,Poço Fundo,2020,8,2020-8-01,0
315170,Poço Fundo,2020,9,2020-9-01,0
315170,Poço Fundo,2020,10,2020-10-01,0
315170,Poço Fundo,2020,11,2020-11-01,0
315170,Poço Fundo,2020,12,2020-12-01,0
315180,Poços de Caldas,2020,1,2020-1-01,1
315180,Poços de Caldas,2020,2,2020-2-01,0
315180,Poços de Caldas,2020,3,2020-3-01,0
315180,Poços de Caldas,2020,4,2020-4-01,0
315180,Poços de Caldas,2020,5,2020-5-01,0
315180,Poços de Caldas,2020,6,2020-6-01,0
315180,Poços de Caldas,2020,7,2020-7-01,0
315180,Poços de Caldas,2020,8,2020-8-01,0
315180,Poços de Caldas,2020,9,2020-9-01,0
315180,Poços de Caldas,2020,10,2020-10-01,0
315180,Poços de Caldas,2020,11,2020-11-01,0
315180,Poços de Caldas,2020,12,2020-12-01,0
315217,Ponto dos Volantes,2020,1,2020-1-01,0
315217,Ponto dos Volantes,2020,2,2020-2-01,0
315217,Ponto dos Volantes,2020,3,2020-3-01,1
315217,Ponto dos Volantes,2020,4,2020-4-01,0
315217,Ponto dos Volantes,2020,5,2020-5-01,0
315217,Ponto dos Volantes,2020,6,2020-6-01,0
315217,Ponto dos Volantes,2020,7,2020-7-01,0
315217,Ponto dos Volantes,2020,8,2020-8-01,0
315217,Ponto dos Volantes,2020,9,2020-9-01,0
315217,Ponto dos Volantes,2020,10,2020-10-01,0
315217,Ponto dos Volantes,2020,11,2020-11-01,0
315217,Ponto dos Volantes,2020,12,2020-12-01,0
315280,Prata,2020,1,2020-1-01,0
315280,Prata,2020,2,2020-2-01,0
315280,Prata,2020,3,2020-3-01,0
315280,Prata,2020,4,2020-4-01,0
315280,Prata,2020,5,2020-5-01,0
315280,Prata,2020,6,2020-6-01,0
315280,Prata,2020,7,2020-7-01,6
315280,Prata,2020,8,2020-8-01,0
315280,Prata,2020,9,2020-9-01,0
315280,Prata,2020,10,2020-10-01,2
315280,Prata,2020,11,2020-11-01,0
315280,Prata,2020,12,2020-12-01,0
315390,Raposos,2020,1,2020-1-01,0
315390,Raposos,2020,2,2020-2-01,1
315390,Raposos,2020,3,2020-3-01,0
315390,Raposos,2020,4,2020-4-01,0
315390,Raposos,2020,5,2020-5-01,0
315390,Raposos,2020,6,2020-6-01,0
315390,Raposos,2020,7,2020-7-01,0
315390,Raposos,2020,8,2020-8-01,0
315390,Raposos,2020,9,2020-9-01,0
315390,Raposos,2020,10,2020-10-01,0
315390,Raposos,2020,11,2020-11-01,0
315390,Raposos,2020,12,2020-12-01,0
315415,Reduto,2020,1,2020-1-01,0
315415,Reduto,2020,2,2020-2-01,0
315415,Reduto,2020,3,2020-3-01,2
315415,Reduto,2020,4,2020-4-01,0
315415,Reduto,2020,5,2020-5-01,1
315415,Reduto,2020,6,2020-6-01,2
315415,Reduto,2020,7,2020-7-01,0
315415,Reduto,2020,8,2020-8-01,0
315415,Reduto,2020,9,2020-9-01,0
315415,Reduto,2020,10,2020-10-01,0
315415,Reduto,2020,11,2020-11-01,0
315415,Reduto,2020,12,2020-12-01,0
315680,Sabinópolis,2020,1,2020-1-01,0
315680,Sabinópolis,2020,2,2020-2-01,0
315680,Sabinópolis,2020,3,2020-3-01,0
315680,Sabinópolis,2020,4,2020-4-01,0
315680,Sabinópolis,2020,5,2020-5-01,0
315680,Sabinópolis,2020,6,2020-6-01,0
315680,Sabinópolis,2020,7,2020-7-01,0
315680,Sabinópolis,2020,8,2020-8-01,0
315680,Sabinópolis,2020,9,2020-9-01,0
315680,Sabinópolis,2020,10,2020-10-01,0
315680,Sabinópolis,2020,11,2020-11-01,0
315680,Sabinópolis,2020,12,2020-12-01,3
315780,Santa Luzia,2020,1,2020-1-01,0
315780,Santa Luzia,2020,2,2020-2-01,0
315780,Santa Luzia,2020,3,2020-3-01,0
315780,Santa Luzia,2020,4,2020-4-01,0
315780,Santa Luzia,2020,5,2020-5-01,0
315780,Santa Luzia,2020,6,2020-6-01,0
315780,Santa Luzia,2020,7,2020-7-01,0
315780,Santa Luzia,2020,8,2020-8-01,0
315780,Santa Luzia,2020,9,2020-9-01,0
315780,Santa Luzia,2020,10,2020-10-01,0
315780,Santa Luzia,2020,11,2020-11-01,2
315780,Santa Luzia,2020,12,2020-12-01,0
315960,Santa Rita do Sapucaí,2020,1,2020-1-01,0
315960,Santa Rita do Sapucaí,2020,2,2020-2-01,0
315960,Santa Rita do Sapucaí,2020,3,2020-3-01,1
315960,Santa Rita do Sapucaí,2020,4,2020-4-01,0
315960,Santa Rita do Sapucaí,2020,5,2020-5-01,0
315960,Santa Rita do Sapucaí,2020,6,2020-6-01,0
