codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_febre_amarela
310640,Belo Vale,2020,1,2020-1-01,0
310640,Belo Vale,2020,2,2020-2-01,0
310640,Belo Vale,2020,3,2020-3-01,0
310640,Belo Vale,2020,4,2020-4-01,0
310640,Belo Vale,2020,5,2020-5-01,0
310640,Belo Vale,2020,6,2020-6-01,0
310640,Belo Vale,2020,7,2020-7-01,0
310640,Belo Vale,2020,8,2020-8-01,0
310640,Belo Vale,2020,9,2020-9-01,0
310640,Belo Vale,2020,11,2020-11-01,0
310640,Belo Vale,2020,12,2020-12-01,1
311340,Caratinga,2020,1,2020-1-01,0
311340,Caratinga,2020,2,2020-2-01,0
311340,Caratinga,2020,3,2020-3-01,0
311340,Caratinga,2020,4,2020-4-01,0
311340,Caratinga,2020,5,2020-5-01,0
311340,Caratinga,2020,6,2020-6-01,0
311340,Caratinga,2020,7,2020-7-01,0
311340,Caratinga,2020,8,2020-8-01,0
311340,Caratinga,2020,9,2020-9-01,0
311340,Caratinga,2020,11,2020-11-01,0
311340,Caratinga,2020,12,2020-12-01,1
311545,Catuji,2020,1,2020-1-01,0
311545,Catuji,2020,2,2020-2-01,0
311545,Catuji,2020,3,2020-3-01,0
311545,Catuji,2020,4,2020-4-01,0
311545,Catuji,2020,5,2020-5-01,0
311545,Catuji,2020,6,2020-6-01,2
311545,Catuji,2020,7,2020-7-01,0
311545,Catuji,2020,8,2020-8-01,0
311545,Catuji,2020,9,2020-9-01,0
311545,Catuji,2020,11,2020-11-01,0
311545,Catuji,2020,12,2020-12-01,0
311550,Caxambu,2020,1,2020-1-01,0
311550,Caxambu,2020,2,2020-2-01,0
311550,Caxambu,2020,3,2020-3-01,0
311550,Caxambu,2020,4,2020-4-01,0
311550,Caxambu,2020,5,2020-5-01,0
311550,Caxambu,2020,6,2020-6-01,1
311550,Caxambu,2020,7,2020-7-01,0
311550,Caxambu,2020,8,2020-8-01,0
311550,Caxambu,2020,9,2020-9-01,0
311550,Caxambu,2020,11,2020-11-01,0
311550,Caxambu,2020,12,2020-12-01,0
311810,Congonhas do Norte,2020,1,2020-1-01,0
311810,Congonhas do Norte,2020,2,2020-2-01,0
311810,Congonhas do Norte,2020,3,2020-3-01,0
311810,Congonhas do Norte,2020,4,2020-4-01,0
311810,Congonhas do Norte,2020,5,2020-5-01,0
311810,Congonhas do Norte,2020,6,2020-6-01,0
311810,Congonhas do Norte,2020,7,2020-7-01,0
311810,Congonhas do Norte,2020,8,2020-8-01,0
311810,Congonhas do Norte,2020,9,2020-9-01,1
311810,Congonhas do Norte,2020,11,2020-11-01,0
311810,Congonhas do Norte,2020,12,2020-12-01,0
311860,Contagem,2020,1,2020-1-01,0
311860,Contagem,2020,2,2020-2-01,1
311860,Contagem,2020,3,2020-3-01,0
311860,Contagem,2020,4,2020-4-01,0
311860,Contagem,2020,5,2020-5-01,2
311860,Contagem,2020,6,2020-6-01,0
311860,Contagem,2020,7,2020-7-01,0
311860,Contagem,2020,8,2020-8-01,2
311860,Contagem,2020,9,2020-9-01,0
311860,Contagem,2020,11,2020-11-01,0
311860,Contagem,2020,12,2020-12-01,0
312160,Diamantina,2020,1,2020-1-01,1
312160,Diamantina,2020,2,2020-2-01,0
312160,Diamantina,2020,3,2020-3-01,0
312160,Diamantina,2020,4,2020-4-01,0
312160,Diamantina,2020,5,2020-5-01,0
312160,Diamantina,2020,6,2020-6-01,0
312160,Diamantina,2020,7,2020-7-01,0
312160,Diamantina,2020,8,2020-8-01,0
312160,Diamantina,2020,9,2020-9-01,0
312160,Diamantina,2020,11,2020-11-01,0
312160,Diamantina,2020,12,2020-12-01,0
312360,Elói Mendes,2020,1,2020-1-01,0
312360,Elói Mendes,2020,2,2020-2-01,0
312360,Elói Mendes,2020,3,2020-3-01,0
312360,Elói Mendes,2020,4,2020-4-01,0
312360,Elói Mendes,2020,5,2020-5-01,1
312360,Elói Mendes,2020,6,2020-6-01,0
312360,Elói Mendes,2020,7,2020-7-01,0
312360,Elói Mendes,2020,8,2020-8-01,0
312360,Elói Mendes,2020,9,2020-9-01,0
312360,Elói Mendes,2020,11,2020-11-01,0
312360,Elói Mendes,2020,12,2020-12-01,0
312820,Guaraciaba,2020,1,2020-1-01,0
312820,Guaraciaba,2020,2,2020-2-01,0
312820,Guaraciaba,2020,3,2020-3-01,0
312820,Guaraciaba,2020,4,2020-4-01,0
312820,Guaraciaba,2020,5,2020-5-01,1
312820,Guaraciaba,2020,6,2020-6-01,0
312820,Guaraciaba,2020,7,2020-7-01,0
312820,Guaraciaba,2020,8,2020-8-01,0
312820,Guaraciaba,2020,9,2020-9-01,0
312820,Guaraciaba,2020,11,2020-11-01,0
312820,Guaraciaba,2020,12,2020-12-01,0
313120,Ipanema,2020,1,2020-1-01,0
313120,Ipanema,2020,2,2020-2-01,0
313120,Ipanema,2020,3,2020-3-01,0
313120,Ipanema,2020,4,2020-4-01,0
313120,Ipanema,2020,5,2020-5-01,0
313120,Ipanema,2020,6,2020-6-01,0
313120,Ipanema,2020,7,2020-7-01,1
313120,Ipanema,2020,8,2020-8-01,0
313120,Ipanema,2020,9,2020-9-01,0
313120,Ipanema,2020,11,2020-11-01,0
313120,Ipanema,2020,12,2020-12-01,0
313210,Itacarambi,2020,1,2020-1-01,0
313210,Itacarambi,2020,2,2020-2-01,0
313210,Itacarambi,2020,3,2020-3-01,0
313210,Itacarambi,2020,4,2020-4-01,0
313210,Itacarambi,2020,5,2020-5-01,0
313210,Itacarambi,2020,6,2020-6-01,1
313210,Itacarambi,2020,7,2020-7-01,0
313210,Itacarambi,2020,8,2020-8-01,0
313210,Itacarambi,2020,9,2020-9-01,0
313210,Itacarambi,2020,11,2020-11-01,0
313210,Itacarambi,2020,12,2020-12-01,0
314000,Mariana,2020,1,2020-1-01,1
314000,Mariana,2020,2,2020-2-01,3
314000,Mariana,2020,3,2020-3-01,1
314000,Mariana,2020,4,2020-4-01,2
314000,Mariana,2020,5,2020-5-01,1
314000,Mariana,2020,6,2020-6-01,0
314000,Mariana,2020,7,2020-7-01,1
314000,Mariana,2020,8,2020-8-01,0
314000,Mariana,2020,9,2020-9-01,0
314000,Mariana,2020,11,2020-11-01,1
314000,Mariana,2020,12,2020-12-01,0
314470,Nova Era,2020,1,2020-1-01,1
314470,Nova Era,2020,2,2020-2-01,0
314470,Nova Era,2020,3,2020-3-01,0
314470,Nova Era,2020,4,2020-4-01,0
314470,Nova Era,2020,5,2020-5-01,0
314470,Nova Era,2020,6,2020-6-01,0
314470,Nova Era,2020,7,2020-7-01,0
314470,Nova Era,2020,8,2020-8-01,0
314470,Nova Era,2020,9,2020-9-01,0
314470,Nova Era,2020,11,2020-11-01,0
314470,Nova Era,2020,12,2020-12-01,0
314480,Nova Lima,2020,1,2020-1-01,0
314480,Nova Lima,2020,2,2020-2-01,0
314480,Nova Lima,2020,3,2020-3-01,0
314480,Nova Lima,2020,4,2020-4-01,0
314480,Nova Lima,2020,5,2020-5-01,0
314480,Nova Lima,2020,6,2020-6-01,0
314480,Nova Lima,2020,7,2020-7-01,0
314480,Nova Lima,2020,8,2020-8-01,0
314480,Nova Lima,2020,9,2020-9-01,0
314480,Nova Lima,2020,11,2020-11-01,1
314480,Nova Lima,2020,12,2020-12-01,0
314610,Ouro Preto,2020,1,2020-1-01,0
314610,Ouro Preto,2020,2,2020-2-01,1
314610,Ouro Preto,2020,3,2020-3-01,0
314610,Ouro Preto,2020,4,2020-4-01,0
314610,Ouro Preto,2020,5,2020-5-01,0
314610,Ouro Preto,2020,6,2020-6-01,0
314610,Ouro Preto,2020,7,2020-7-01,0
314610,Ouro Preto,2020,8,2020-8-01,0
314610,Ouro Preto,2020,9,2020-9-01,0
314610,Ouro Preto,2020,11,2020-11-01,0
314610,Ouro Preto,2020,12,2020-12-01,0
314970,Perdigão,2020,1,2020-1-01,0
314970,Perdigão,2020,2,2020-2-01,1
314970,Perdigão,2020,3,2020-3-01,0
314970,Perdigão,2020,4,2020-4-01,0
314970,Perdigão,2020,5,2020-5-01,0
314970,Perdigão,2020,6,2020-6-01,0
314970,Perdigão,2020,7,2020-7-01,0
314970,Perdigão,2020,8,2020-8-01,0
314970,Perdigão,2020,9,2020-9-01,0
314970,Perdigão,2020,11,2020-11-01,0
314970,Perdigão,2020,12,2020-12-01,0
315080,Piranga,2020,1,2020-1-01,1
315080,Piranga,2020,2,2020-2-01,0
315080,Piranga,2020,3,2020-3-01,0
315080,Piranga,2020,4,2020-4-01,0
315080,Piranga,2020,5,2020-5-01,0
315080,Piranga,2020,6,2020-6-01,0
315080,Piranga,2020,7,2020-7-01,0
315080,Piranga,2020,8,2020-8-01,0
315080,Piranga,2020,9,2020-9-01,0
315080,Piranga,2020,11,2020-11-01,0
315080,Piranga,2020,12,2020-12-01,0
315130,Piraúba,2020,1,2020-1-01,1
315130,Piraúba,2020,2,2020-2-01,0
315130,Piraúba,2020,3,2020-3-01,0
315130,Piraúba,2020,4,2020-4-01,0
315130,Piraúba,2020,5,2020-5-01,0
315130,Piraúba,2020,6,2020-6-01,0
315130,Piraúba,2020,7,2020-7-01,0
315130,Piraúba,2020,8,2020-8-01,0
315130,Piraúba,2020,9,2020-9-01,0
315130,Piraúba,2020,11,2020-11-01,0
315130,Piraúba,2020,12,2020-12-01,0
315390,Raposos,2020,1,2020-1-01,0
315390,Raposos,2020,2,2020-2-01,0
315390,Raposos,2020,3,2020-3-01,0
315390,Raposos,2020,4,2020-4-01,0
315390,Raposos,2020,5,2020-5-01,0
315390,Raposos,2020,6,2020-6-01,0
315390,Raposos,2020,7,2020-7-01,0
315390,Raposos,2020,8,2020-8-01,1
315390,Raposos,2020,9,2020-9-01,0
315390,Raposos,2020,11,2020-11-01,0
315390,Raposos,2020,12,2020-12-01,0
315460,Ribeirão das Neves,2020,1,2020-1-01,0
315460,Ribeirão das Neves,2020,2,2020-2-01,0
315460,Ribeirão das Neves,2020,3,2020-3-01,0
315460,Ribeirão das Neves,2020,4,2020-4-01,0
315460,Ribeirão das Neves,2020,5,2020-5-01,0
315460,Ribeirão das Neves,2020,6,2020-6-01,0
315460,Ribeirão das Neves,2020,7,2020-7-01,0
315460,Ribeirão das Neves,2020,8,2020-8-01,1
315460,Ribeirão das Neves,2020,9,2020-9-01,0
315460,Ribeirão das Neves,2020,11,2020-11-01,1
315460,Ribeirão das Neves,2020,12,2020-12-01,0
315580,Rio Pomba,2020,1,2020-1-01,0
315580,Rio Pomba,2020,2,2020-2-01,0
315580,Rio Pomba,2020,3,2020-3-01,0
315580,Rio Pomba,2020,4,2020-4-01,0
315580,Rio Pomba,2020,5,2020-5-01,1
315580,Rio Pomba,2020,6,2020-6-01,0
315580,Rio Pomba,2020,7,2020-7-01,0
315580,Rio Pomba,2020,8,2020-8-01,0
315580,Rio Pomba,2020,9,2020-9-01,0
315580,Rio Pomba,2020,11,2020-11-01,0
315580,Rio Pomba,2020,12,2020-12-01,0
315780,Santa Luzia,2020,1,2020-1-01,0
315780,Santa Luzia,2020,2,2020-2-01,0
315780,Santa Luzia,2020,3,2020-3-01,2
315780,Santa Luzia,2020,4,2020-4-01,0
315780,Santa Luzia,2020,5,2020-5-01,1
315780,Santa Luzia,2020,6,2020-6-01,0
315780,Santa Luzia,2020,7,2020-7-01,0
315780,Santa Luzia,2020,8,2020-8-01,0
315780,Santa Luzia,2020,9,2020-9-01,0
315780,Santa Luzia,2020,11,2020-11-01,0
315780,Santa Luzia,2020,12,2020-12-01,1
316720,Sete Lagoas,2020,1,2020-1-01,0
316720,Sete Lagoas,2020,2,2020-2-01,0
316720,Sete Lagoas,2020,3,2020-3-01,0
316720,Sete Lagoas,2020,4,2020-4-01,0
316720,Sete Lagoas,2020,5,2020-5-01,0
316720,Sete Lagoas,2020,6,2020-6-01,0
316720,Sete Lagoas,2020,7,2020-7-01,0
316720,Sete Lagoas,2020,8,2020-8-01,0
316720,Sete Lagoas,2020,9,2020-9-01,0
316720,Sete Lagoas,2020,11,2020-11-01,0
316720,Sete Lagoas,2020,12,2020-12-01,1
316990,Ubá,2020,1,2020-1-01,0
316990,Ubá,2020,2,2020-2-01,1
316990,Ubá,2020,3,2020-3-01,0
316990,Ubá,2020,4,2020-4-01,0
316990,Ubá,2020,5,2020-5-01,1
316990,Ubá,2020,6,2020-6-01,2
316990,Ubá,2020,7,2020-7-01,0
316990,Ubá,2020,8,2020-8-01,0
316990,Ubá,2020,9,2020-9-01,0
316990,Ubá,2020,11,2020-11-01,0
316990,Ubá,2020,12,2020-12-01,0
310110,Aimorés,2019,1,2019-1-01,0
310110,Aimorés,2019,2,2019-2-01,0
310110,Aimorés,2019,3,2019-3-01,0
310110,Aimorés,2019,4,2019-4-01,1
310110,Aimorés,2019,5,2019-5-01,0
310110,Aimorés,2019,6,2019-6-01,0
310110,Aimorés,2019,7,2019-7-01,0
310110,Aimorés,2019,8,2019-8-01,0
310110,Aimorés,2019,9,2019-9-01,0
310110,Aimorés,2019,10,2019-10-01,0
310110,Aimorés,2019,11,2019-11-01,0
310110,Aimorés,2019,12,2019-12-01,0
310390,Araújos,2019,1,2019-1-01,0
310390,Araújos,2019,2,2019-2-01,0
310390,Araújos,2019,3,2019-3-01,0
310390,Araújos,2019,4,2019-4-01,1
310390,Araújos,2019,5,2019-5-01,0
310390,Araújos,2019,6,2019-6-01,0
310390,Araújos,2019,7,2019-7-01,0
310390,Araújos,2019,8,2019-8-01,0
310390,Araújos,2019,9,2019-9-01,0
310390,Araújos,2019,10,2019-10-01,0
310390,Araújos,2019,11,2019-11-01,0
310390,Araújos,2019,12,2019-12-01,0
310400,Araxá,2019,1,2019-1-01,0
310400,Araxá,2019,2,2019-2-01,0
310400,Araxá,2019,3,2019-3-01,1
310400,Araxá,2019,4,2019-4-01,0
310400,Araxá,2019,5,2019-5-01,0
310400,Araxá,2019,6,2019-6-01,0
310400,Araxá,2019,7,2019-7-01,0
310400,Araxá,2019,8,2019-8-01,0
310400,Araxá,2019,9,2019-9-01,0
310400,Araxá,2019,10,2019-10-01,0
310400,Araxá,2019,11,2019-11-01,0
310400,Araxá,2019,12,2019-12-01,0
310420,Arcos,2019,1,2019-1-01,0
310420,Arcos,2019,2,2019-2-01,1
310420,Arcos,2019,3,2019-3-01,0
310420,Arcos,2019,4,2019-4-01,0
310420,Arcos,2019,5,2019-5-01,0
310420,Arcos,2019,6,2019-6-01,0
310420,Arcos,2019,7,2019-7-01,0
310420,Arcos,2019,8,2019-8-01,0
310420,Arcos,2019,9,2019-9-01,0
310420,Arcos,2019,10,2019-10-01,0
310420,Arcos,2019,11,2019-11-01,0
310420,Arcos,2019,12,2019-12-01,0
310540,Barão de Cocais,2019,1,2019-1-01,0
310540,Barão de Cocais,2019,2,2019-2-01,0
310540,Barão de Cocais,2019,3,2019-3-01,0
310540,Barão de Cocais,2019,4,2019-4-01,0
310540,Barão de Cocais,2019,5,2019-5-01,1
310540,Barão de Cocais,2019,6,2019-6-01,0
310540,Barão de Cocais,2019,7,2019-7-01,0
310540,Barão de Cocais,2019,8,2019-8-01,0
310540,Barão de Cocais,2019,9,2019-9-01,0
310540,Barão de Cocais,2019,10,2019-10-01,0
310540,Barão de Cocais,2019,11,2019-11-01,0
310540,Barão de Cocais,2019,12,2019-12-01,0
310620,Belo Horizonte,2019,1,2019-1-01,2
310620,Belo Horizonte,2019,2,2019-2-01,3
310620,Belo Horizonte,2019,3,2019-3-01,2
310620,Belo Horizonte,2019,4,2019-4-01,2
310620,Belo Horizonte,2019,5,2019-5-01,2
310620,Belo Horizonte,2019,6,2019-6-01,0
310620,Belo Horizonte,2019,7,2019-7-01,0
310620,Belo Horizonte,2019,8,2019-8-01,0
310620,Belo Horizonte,2019,9,2019-9-01,0
310620,Belo Horizonte,2019,10,2019-10-01,1
310620,Belo Horizonte,2019,11,2019-11-01,0
310620,Belo Horizonte,2019,12,2019-12-01,3
310670,Betim,2019,1,2019-1-01,1
310670,Betim,2019,2,2019-2-01,0
310670,Betim,2019,3,2019-3-01,0
310670,Betim,2019,4,2019-4-01,0
310670,Betim,2019,5,2019-5-01,1
310670,Betim,2019,6,2019-6-01,0
310670,Betim,2019,7,2019-7-01,0
310670,Betim,2019,8,2019-8-01,0
310670,Betim,2019,9,2019-9-01,0
310670,Betim,2019,10,2019-10-01,0
310670,Betim,2019,11,2019-11-01,0
310670,Betim,2019,12,2019-12-01,1
310710,Boa Esperança,2019,1,2019-1-01,0
310710,Boa Esperança,2019,2,2019-2-01,0
310710,Boa Esperança,2019,3,2019-3-01,0
310710,Boa Esperança,2019,4,2019-4-01,0
310710,Boa Esperança,2019,5,2019-5-01,0
310710,Boa Esperança,2019,6,2019-6-01,0
310710,Boa Esperança,2019,7,2019-7-01,0
310710,Boa Esperança,2019,8,2019-8-01,1
310710,Boa Esperança,2019,9,2019-9-01,0
310710,Boa Esperança,2019,10,2019-10-01,0
310710,Boa Esperança,2019,11,2019-11-01,0
310710,Boa Esperança,2019,12,2019-12-01,0
311120,Campo Belo,2019,1,2019-1-01,0
311120,Campo Belo,2019,2,2019-2-01,0
311120,Campo Belo,2019,3,2019-3-01,0
311120,Campo Belo,2019,4,2019-4-01,1
311120,Campo Belo,2019,5,2019-5-01,0
311120,Campo Belo,2019,6,2019-6-01,0
311120,Campo Belo,2019,7,2019-7-01,0
311120,Campo Belo,2019,8,2019-8-01,0
311120,Campo Belo,2019,9,2019-9-01,0
311120,Campo Belo,2019,10,2019-10-01,0
311120,Campo Belo,2019,11,2019-11-01,0
311120,Campo Belo,2019,12,2019-12-01,0
311420,Carmo do Cajuru,2019,1,2019-1-01,0
311420,Carmo do Cajuru,2019,2,2019-2-01,1
311420,Carmo do Cajuru,2019,3,2019-3-01,0
311420,Carmo do Cajuru,2019,4,2019-4-01,0
311420,Carmo do Cajuru,2019,5,2019-5-01,0
311420,Carmo do Cajuru,2019,6,2019-6-01,0
311420,Carmo do Cajuru,2019,7,2019-7-01,0
311420,Carmo do Cajuru,2019,8,2019-8-01,0
311420,Carmo do Cajuru,2019,9,2019-9-01,0
311420,Carmo do Cajuru,2019,10,2019-10-01,0
311420,Carmo do Cajuru,2019,11,2019-11-01,0
311420,Carmo do Cajuru,2019,12,2019-12-01,0
311535,Catas Altas,2019,1,2019-1-01,0
311535,Catas Altas,2019,2,2019-2-01,0
311535,Catas Altas,2019,3,2019-3-01,0
311535,Catas Altas,2019,4,2019-4-01,0
311535,Catas Altas,2019,5,2019-5-01,0
311535,Catas Altas,2019,6,2019-6-01,0
311535,Catas Altas,2019,7,2019-7-01,0
311535,Catas Altas,2019,8,2019-8-01,0
311535,Catas Altas,2019,9,2019-9-01,0
311535,Catas Altas,2019,10,2019-10-01,1
311535,Catas Altas,2019,11,2019-11-01,0
311535,Catas Altas,2019,12,2019-12-01,0
311750,Conceição do Mato Dentro,2019,1,2019-1-01,1
311750,Conceição do Mato Dentro,2019,2,2019-2-01,0
311750,Conceição do Mato Dentro,2019,3,2019-3-01,0
311750,Conceição do Mato Dentro,2019,4,2019-4-01,0
311750,Conceição do Mato Dentro,2019,5,2019-5-01,0
311750,Conceição do Mato Dentro,2019,6,2019-6-01,0
311750,Conceição do Mato Dentro,2019,7,2019-7-01,0
311750,Conceição do Mato Dentro,2019,8,2019-8-01,0
311750,Conceição do Mato Dentro,2019,9,2019-9-01,0
311750,Conceição do Mato Dentro,2019,10,2019-10-01,0
311750,Conceição do Mato Dentro,2019,11,2019-11-01,0
311750,Conceição do Mato Dentro,2019,12,2019-12-01,0
311760,Conceição do Pará,2019,1,2019-1-01,0
311760,Conceição do Pará,2019,2,2019-2-01,1
311760,Conceição do Pará,2019,3,2019-3-01,0
311760,Conceição do Pará,2019,4,2019-4-01,0
311760,Conceição do Pará,2019,5,2019-5-01,0
311760,Conceição do Pará,2019,6,2019-6-01,0
311760,Conceição do Pará,2019,7,2019-7-01,0
311760,Conceição do Pará,2019,8,2019-8-01,0
311760,Conceição do Pará,2019,9,2019-9-01,0
311760,Conceição do Pará,2019,10,2019-10-01,0
311760,Conceição do Pará,2019,11,2019-11-01,0
311760,Conceição do Pará,2019,12,2019-12-01,0
311860,Contagem,2019,1,2019-1-01,0
311860,Contagem,2019,2,2019-2-01,2
311860,Contagem,2019,3,2019-3-01,1
311860,Contagem,2019,4,2019-4-01,0
311860,Contagem,2019,5,2019-5-01,0
311860,Contagem,2019,6,2019-6-01,0
311860,Contagem,2019,7,2019-7-01,0
311860,Contagem,2019,8,2019-8-01,0
311860,Contagem,2019,9,2019-9-01,0
311860,Contagem,2019,10,2019-10-01,0
311860,Contagem,2019,11,2019-11-01,0
311860,Contagem,2019,12,2019-12-01,0
311910,Corinto,2019,1,2019-1-01,0
311910,Corinto,2019,2,2019-2-01,0
311910,Corinto,2019,3,2019-3-01,0
311910,Corinto,2019,4,2019-4-01,1
311910,Corinto,2019,5,2019-5-01,0
311910,Corinto,2019,6,2019-6-01,0
311910,Corinto,2019,7,2019-7-01,0
311910,Corinto,2019,8,2019-8-01,0
311910,Corinto,2019,9,2019-9-01,0
311910,Corinto,2019,10,2019-10-01,0
311910,Corinto,2019,11,2019-11-01,0
311910,Corinto,2019,12,2019-12-01,0
312675,Franciscópolis,2019,1,2019-1-01,0
312675,Franciscópolis,2019,2,2019-2-01,0
312675,Franciscópolis,2019,3,2019-3-01,0
312675,Franciscópolis,2019,4,2019-4-01,0
312675,Franciscópolis,2019,5,2019-5-01,0
312675,Franciscópolis,2019,6,2019-6-01,1
312675,Franciscópolis,2019,7,2019-7-01,0
312675,Franciscópolis,2019,8,2019-8-01,0
312675,Franciscópolis,2019,9,2019-9-01,0
312675,Franciscópolis,2019,10,2019-10-01,0
312675,Franciscópolis,2019,11,2019-11-01,0
312675,Franciscópolis,2019,12,2019-12-01,0
312680,Frei Gaspar,2019,1,2019-1-01,1
312680,Frei Gaspar,2019,2,2019-2-01,0
312680,Frei Gaspar,2019,3,2019-3-01,0
312680,Frei Gaspar,2019,4,2019-4-01,0
312680,Frei Gaspar,2019,5,2019-5-01,0
312680,Frei Gaspar,2019,6,2019-6-01,0
312680,Frei Gaspar,2019,7,2019-7-01,0
312680,Frei Gaspar,2019,8,2019-8-01,0
312680,Frei Gaspar,2019,9,2019-9-01,0
312680,Frei Gaspar,2019,10,2019-10-01,0
312680,Frei Gaspar,2019,11,2019-11-01,0
312680,Frei Gaspar,2019,12,2019-12-01,0
312770,Governador Valadares,2019,1,2019-1-01,0
312770,Governador Valadares,2019,2,2019-2-01,0
312770,Governador Valadares,2019,3,2019-3-01,0
312770,Governador Valadares,2019,4,2019-4-01,1
